id,naics_code,code_description,num_establishments_2017,value_x1000_2017,payroll_x1000_2017,num_employees_2017,num_establishments_2012,value_x1000_2012,payroll_x1000_2012,num_employees_2012,num_establishments_2007,value_x1000_2007,payroll_x1000_2007,num_employees_2007,num_establishments_2002,value_x1000_2002,payroll_x1000_2002,num_employees_2002
181,423,"Merchant wholesalers, durable goods",51,83874,14671,701,1052,6047202,429682,11963,1149,7822433,461239,14688,1200,5535557,430155,17704
182,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,51,83874,14671,701,112,1336264,48346,1605,132,2038308,61941,2233,140,1915085,61840,2427
183,42311,Automobile and other motor vehicle merchant wholesalers,51,83874,14671,701,13,1062682,21431,414,15,1681397,24288,668,26,1583576,25798,777
184,42312,Motor vehicle supplies and new parts merchant wholesalers,51,83874,14671,701,61,162089,17418,755,77,225344,26401,1051,82,241870,28713,1276
185,42313,Tire and tube merchant wholesaler,51,83874,14671,701s,25,93801,8031,358,27,98890,7879,371,19,76063,5876,299
186,42314,Motor vehicle parts (used) merchant wholesalers,51,83874,14671,701,13,17690,1465,78,13,32676,3372,143,13,13576,1453,75
187,4232,Furniture and home furnishing merchant wholesalers,51,83874,14671,701,47,62195,8772,380,57,89601,9715,449,58,164586,13927,757
188,42321,Furniture merchant wholesalers,51,83874,14671,701,26,38763,4398,191,30,46253,5220,267,31,106800,8470,450
189,42322,Home furnishing merchant wholesalers,51,83874,14671,701,21,23432,4373,189,27,43348,4494,181,27,57786,5457,307
190,4233,Lumber and other construction materials merchant wholesalers,51,83874,14671,701,64,142795,16173,600,81,411436,31259,1234,83,322958,23744,1307
191,42331,"Lumber, plywood, millwork, and wood panel merchant wholesalers",51,83874,14671,701,16,44127,4937,170,23,168831,9616,423,25,130676,7643,399
192,42332,"Brick, stone, and related construction material merchant wholesalers",51,83874,14671,701,25,36850,5041,217,26,47981,7323,244,25,n/d,n/d,n/d
193,42339,Other construction material merchant wholesalers,51,83874,14671,701,20,59117,6081,210,30,192615,14099,555,31,151813,12749,715
194,4234,Professional and commercial equipment and supplies merchant wholesalers,51,83874,14671,701,215,2463563,159870,3077,235,2679895,136355,3102,281,1144019,144250,5222
195,42341,Photographic equipment and supplies merchant wholesalers,51,83874,14671,701,2,n/d,n/d,n/d,3,32333,2264,50,7,31411,3350,64
196,42342,Office equipment merchant wholesalers,51,83874,14671,701,36,84634,18690,516,39,149438,24864,546,46,178127,24150,792
197,42343,Computer and computer peripheral equipment and software merchant wholesalers,51,83874,14671,701,21,205601,29117,330,27,286425,30893,486,40,285438,35477,1286
198,42344,Other commercial equipment merchant wholesalers,51,83874,14671,701,31,35435,5644,198,39,41964,5906,286,34,58039,5740,335
199,42345,"Medical, dental, and hospital equipment and supplies merchant wholesalers",51,83874,14671,701,102,2023515,89996,1606,101,2024051,56646,1239,124,479085,64697,2406
200,42346,Ophthalmic goods merchant wholesalers,51,83874,14671,701,6,n/d,n/d,n/d,6,2097,267,12,10,9591,1630,56
201,42349,Other professional equipment and supplies merchant wholesalers,51,83874,14671,701,17,56705,9391,301,20,143588,15515,482,20,102328,9206,283
202,4235,Metal and mineral (except petroleum) merchant wholesalers,51,83874,14671,701,25,87411,14291,546,34,174791,12005,604,35,122778,10451,586
203,42351,Metal service centers and other metal merchant wholesalers,51,83874,14671,701,22,85879,14018,531,32,172736,11708,584,31,120212,10004,552
204,4236,Electrical and electronic goods merchant wholesalers,51,83874,14671,701,135,523380,49381,1326,153,940753,57591,1764,138,622463,48818,1816
205,42361,"Electrical apparatus and equipment, wiring supplies, and related equipment merchant wholesalers",51,83874,14671,701,76,238216,24447,684,86,369770,26767,802,65,218300,18324,755
206,42362,"Electrical and electronic appliance, television, and radio set merchant wholesalers",51,83874,14671,701,17,122836,11702,332,27,173086,15240,499,20,243605,17578,610
