id,naics_code,code_description,num_establishments_2017,value_x1000_2017,payroll_x1000_2017,num_employees_2017,num_establishments_2012,value_x1000_2012,payroll_x1000_2012,num_employees_2012
324,42472,Petroleum and petroleum products merchant wholesalers (except bulk stations and terminals),23,1381446,19418,440,n/d,n/d,n/d,n/d
325,4248,"Beer, wine, and distilled alcoholic beverage merchant wholesalers",25,1346148,61298,1640,24,1988680,56340,1670
326,42481,Beer and ale merchant wholesalers,5,n/d,n/d,n/d,n/d,n/d,n/d,n/d
327,42482,Wine and distilled alcoholic beverage merchant wholesalers,20,1068084,59336,1582,n/d,n/d,n/d,n/d
328,4249,Miscellaneous nondurable goods merchant wholesalers,111,1063283,74521,2208,107,669273,63372,1894
329,42491,Farm supplies merchant wholesalers,11,38532,3768,111,7,3530,590,38
330,42492,"Book, periodical, and newspaper merchant wholesalers",20,21386,3507,321,18,80556,12518,411
331,42493,"Flower, nursery stock, and florists' supplies merchant wholesalers",12,30914,2784,220,24,96699,3633,153
332,42494,Tobacco and tobacco product merchant wholesalers,20,903497,58369,1318,21,422382,33436,771
333,42495,"Paint, varnish, and supplies merchant wholesalers",11,16428,1376,50,10,16614,2573,119
334,42499,Other miscellaneous nondurable goods merchant wholesalers,37,52524,4714,187,27,49491,10621,401
335,425,Wholesale electronic markets and agents and brokers,72,35639,8701,380,81,34559,9190,299
336,4251,Wholesale electronic markets and agents and brokers,72,35639,8701,380,81,34559,9190,299
337,42511,Business to business electronic markets,8,2561,665,31,n/d,n/d,n/d,n/d
338,42512,Wholesale trade agents and brokers,64,33079,8037,349,n/d,n/d,n/d,n/d
339,44-45,Retail trade,9364,25456248,2368082,132033,9732,24957584,1995812,124887
340,441,Motor vehicle and parts dealers,1326,4546207,330010,15225,1280,4439805,274625,13291
341,4411,Automobile dealers,291,3426429,188635,6195,297,3485134,140907,6176
342,44111,New car dealers,158,3073494,172103,5505,176,2984514,130497,5618
343,44112,Used car dealers,133,352936,16532,690,121,500620,10410,558
344,4412,Other motor vehicle dealers,44,70807,5173,231,54,51629,5074,241
345,44121,Recreational vehicle dealers,n/d,n/d,n/d,n/d,7,9719,979,47
346,44122,"Motorcycle, boat, and other motor vehicle dealers",42,68839,5011,221,47,41910,4094,193
347,4413,"Automotive parts, accessories, and tire stores",991,1048971,136201,8798,929,903042,128644,6873
348,44131,Automotive parts and accessories stores,819,950009,127555,8245,770,713117,103264,5401
349,44132,Tire dealers,172,98962,8646,554,159,189926,25381,1473
350,442,Furniture and home furnishings stores,269,468730,44955,2284,328,473371,44796,2318
351,4421,Furniture stores,206,404320,35179,1653,232,385799,35027,1621
352,44211,Furniture stores,206,404320,35179,1653,n/d,n/d,n/d,n/d
353,4422,Home furnishings stores,63,64410,9775,631,96,87572,9768,696
354,44221,Floor covering stores,14,14847,2095,71,12,17901,1203,87
355,44229,Other home furnishings stores,49,49562,7679,560,84,69671,8565,609
356,443,Electronics and appliance stores,213,218439,32118,1740,442,487301,58680,3201
357,4431,Electronics and appliance stores,213,218439,32118,1740,442,487301,58680,3201
358,44314,Electronics and appliance stores,213,218439,32118,1740,n/d,n/d,n/d,n/d
359,444,Building material and garden equipment and supplies dealers,847,1620623,155042,7947,914,1293762,152279,8120
360,4441,Building material and supplies dealers,763,1561509,150313,7607,832,1230780,145954,7796
361,44411,Home centers,38,639074,42515,1998,38,378163,38843,1997
362,44412,Paint and wallpaper stores,113,89407,12116,477,101,89965,12391,394
363,44413,Hardware stores,439,570568,66678,3797,471,481451,59739,3699
364,44419,Other building material dealers,173,262460,29005,1334,222,281202,34981,1705
365,4442,Lawn and garden equipment and supplies stores,84,59113,4728,341,82,62982,6325,324
366,44421,Outdoor power equipment stores,11,6470,728,40,11,14393,1734,58
367,44422,"Nursery, garden center, and farm supply stores",73,52642,3999,300,71,48589,4590,266
368,445,Food and beverage stores,1126,4603220,363085,26409,1143,4238505,288055,22737
369,4451,Grocery stores,898,4439379,347871,25100,871,4132509,268691,21218
370,44511,Supermarkets and other grocery (except convenience) stores,719,4272900,338704,24430,764,3917115,263080,20778
371,44512,Convenience stores,179,166479,9168,670,107,215393,5610,440
372,4452,Specialty food stores,150,89991,10229,955,197,62598,14980,1163
373,44521,Meat markets,13,18374,1919,147,19,12093,3137,204
374,44522,Fish and seafood markets,4,682,91,10,7,2243,153,n/d
375,44523,Fruit and vegetable markets,26,28838,1370,92,33,14624,2598,142
376,44529,Other specialty food stores,107,42096,6849,705,138,33639,9092,807
377,4453,"Beer, wine, and liquor stores",78,73850,4984,353,75,43398,4383,355
378,44531,"Beer, wine, and liquor stores",78,73850,4984,353,n/d,n/d,n/d,n/d
379,446,Health and personal care stores,1547,3685615,471750,18725,1447,3909171,340567,15648
380,4461,Health and personal care stores,1547,3685615,471750,18725,1447,3909171,340567,15648
381,44611,Pharmacies and drug stores,908,3260376,394226,14926,854,3546971,278510,12244
382,44612,"Cosmetics, beauty supplies, and perfume stores",201,161846,25276,1306,174,144674,17566,1067
383,44613,Optical goods stores,203,102285,22581,1174,205,92002,18806,1051
384,44619,Other health and personal care stores,235,161108,29665,1318,214,125523,25683,1284
385,447,Gasoline stations,842,2336193,65361,5462,775,2769444,69953,5078
386,4471,Gasoline stations,842,2336193,65361,5462,775,2769444,69953,5078
387,44711,Gasoline stations with convenience stores,775,2217231,61911,5201,635,2588700,59193,4364
